,iteration,smart_agent,strategy,agent,money
459,38,retail,Smart,Regional Warehouse,17294.379891263703
460,38,retail,Smart,Factory,12942.444178180343
461,38,retail,Dumb,Retail,6835.862730116206
462,38,retail,Dumb,Wholesale,-3029.672132387251
463,38,retail,Dumb,Regional Warehouse,4701.349130418206
464,38,retail,Dumb,Factory,6835.862730116206
465,38,retail,Dumber,Retail,1341.7198538394382
466,38,retail,Dumber,Wholesale,-2846.7079247609895
467,38,retail,Dumber,Regional Warehouse,5078.232216303411
468,38,retail,Dumber,Factory,1341.7198538394382
469,39,retail,Smart,Retail,1539.8092777134877
470,39,retail,Smart,Wholesale,-215.7862076643448
471,39,retail,Smart,Regional Warehouse,1579.9999521091277
472,39,retail,Smart,Factory,1539.8092777134877
473,39,retail,Dumb,Retail,-113.87999663728985
474,39,retail,Dumb,Wholesale,-6788.224156109873
475,39,retail,Dumb,Regional Warehouse,-6079.645146552104
476,39,retail,Dumb,Factory,-113.87999663728985
477,39,retail,Dumber,Retail,-5982.385147436282
478,39,retail,Dumber,Wholesale,-6689.47877831662
479,39,retail,Dumber,Regional Warehouse,-5989.607419101677
480,39,retail,Dumber,Factory,-5982.385147436282
481,40,retail,Smart,Retail,5517.051206904014
482,40,retail,Smart,Wholesale,6728.91876187861
483,40,retail,Smart,Regional Warehouse,6408.4638179494
484,40,retail,Smart,Factory,5517.051206904014
485,40,retail,Dumb,Retail,2049.210647458158
486,40,retail,Dumb,Wholesale,-1730.272326936614
487,40,retail,Dumb,Regional Warehouse,-1788.1544756662333
488,40,retail,Dumb,Factory,2049.210647458158
489,40,retail,Dumber,Retail,-3169.546187372079
490,40,retail,Dumber,Wholesale,-1479.6375270241883
491,40,retail,Dumber,Regional Warehouse,-1639.7008849808096
492,40,retail,Dumber,Factory,-3169.546187372079
493,41,retail,Smart,Retail,3173.6300871384747
494,41,retail,Smart,Wholesale,9454.590726966744
495,41,retail,Smart,Regional Warehouse,16957.329043846625
496,41,retail,Smart,Factory,3173.6300871384747
497,41,retail,Dumb,Retail,-214.06785791231664
498,41,retail,Dumb,Wholesale,-2437.3420392136873
499,41,retail,Dumb,Regional Warehouse,2106.0533529689556
500,41,retail,Dumb,Factory,-214.06785791231664
501,41,retail,Dumber,Retail,-7771.955155751268
502,41,retail,Dumber,Wholesale,-2116.182846807824
503,41,retail,Dumber,Regional Warehouse,2509.8400135891798
504,41,retail,Dumber,Factory,-7771.955155751268
505,42,retail,Smart,Retail,1473.650060687346
506,42,retail,Smart,Wholesale,2557.388729331409
507,42,retail,Smart,Regional Warehouse,1246.6178564944594
508,42,retail,Smart,Factory,1473.650060687346
509,42,retail,Dumb,Retail,734.0700787807176
510,42,retail,Dumb,Wholesale,1383.928384930257
511,42,retail,Dumb,Regional Warehouse,450.38815033249585
512,42,retail,Dumb,Factory,734.0700787807176
513,42,retail,Dumber,Retail,562.6786173337379
514,42,retail,Dumber,Wholesale,1480.1220524475507
515,42,retail,Dumber,Regional Warehouse,478.58320714241165
516,42,retail,Dumber,Factory,562.6786173337379
517,43,retail,Smart,Retail,6188.137631347321
518,43,retail,Smart,Wholesale,8839.445258598937
519,43,retail,Smart,Regional Warehouse,4859.442569323383
520,43,retail,Smart,Factory,6188.137631347321
521,43,retail,Dumb,Retail,2398.4360489352703
522,43,retail,Dumb,Wholesale,894.1541365756555
523,43,retail,Dumb,Regional Warehouse,-1833.3458960086334
524,43,retail,Dumb,Factory,2398.4360489352703
525,43,retail,Dumber,Retail,-1894.767737567129
526,43,retail,Dumber,Wholesale,1168.1712269332947
527,43,retail,Dumber,Regional Warehouse,-1726.1720936066147
528,43,retail,Dumber,Factory,-1894.767737567129
529,44,retail,Smart,Retail,2819.164507492126
530,44,retail,Smart,Wholesale,6446.703252590147
531,44,retail,Smart,Regional Warehouse,4139.349627150098
532,44,retail,Smart,Factory,2819.164507492126
533,44,retail,Dumb,Retail,219.0633051842805
