,iteracion,agente,estrategia,desempeño
843,35,Fábrica,Nadie óptima,0.0
849,35,Almacén Regional,Nadie óptima,0.0
850,35,Almacén Regional,Un agente óptimo,0.06921428585528529
851,35,Almacén Regional,Todos óptima,2.109700208178218
855,35,Menudeo,Nadie óptima,0.0
861,35,Mayoreo,Nadie óptima,0.0
862,35,Mayoreo,Un agente óptimo,0.23676974062701184
867,36,Fábrica,Nadie óptima,0.0
868,36,Fábrica,Un agente óptimo,0.1665132596270359
869,36,Fábrica,Todos óptima,0.34074922566835797
873,36,Almacén Regional,Nadie óptima,0.0
874,36,Almacén Regional,Un agente óptimo,0.028240710895497942
875,36,Almacén Regional,Todos óptima,0.44762787576236135
879,36,Menudeo,Nadie óptima,0.0
880,36,Menudeo,Un agente óptimo,0.1665132596270359
881,36,Menudeo,Todos óptima,0.34074922566835797
885,36,Mayoreo,Nadie óptima,0.0
886,36,Mayoreo,Un agente óptimo,0.034654851121342006
887,36,Mayoreo,Todos óptima,0.06921305280574647
891,37,Fábrica,Nadie óptima,0.0
892,37,Fábrica,Un agente óptimo,0.7863645926378743
893,37,Fábrica,Todos óptima,1.0103549255344857
897,37,Almacén Regional,Nadie óptima,0.0
898,37,Almacén Regional,Un agente óptimo,0.28261476469516744
903,37,Menudeo,Nadie óptima,0.0
904,37,Menudeo,Un agente óptimo,0.7863645926378743
905,37,Menudeo,Todos óptima,1.0103549255344857
909,37,Mayoreo,Nadie óptima,0.0
910,37,Mayoreo,Un agente óptimo,0.2598549683559628
915,38,Fábrica,Nadie óptima,0.0
916,38,Fábrica,Un agente óptimo,0.10941286299775278
917,38,Fábrica,Todos óptima,0.647452791695284
921,38,Almacén Regional,Nadie óptima,0.0
922,38,Almacén Regional,Un agente óptimo,0.02508748761737815
923,38,Almacén Regional,Todos óptima,0.3985538643069746
927,38,Menudeo,Nadie óptima,0.0
928,38,Menudeo,Un agente óptimo,0.10941286299775278
929,38,Menudeo,Todos óptima,0.647452791695284
933,38,Mayoreo,Nadie óptima,0.0
934,38,Mayoreo,Un agente óptimo,0.04152519770392766
935,38,Mayoreo,Todos óptima,0.5375394076400882
939,39,Fábrica,Nadie óptima,0.0
940,39,Fábrica,Un agente óptimo,0.8538351797535308
941,39,Fábrica,Todos óptima,1.010290964846034
945,39,Almacén Regional,Nadie óptima,0.0
946,39,Almacén Regional,Un agente óptimo,0.00891662343851179
947,39,Almacén Regional,Todos óptima,1.065950395553862
951,39,Menudeo,Nadie óptima,0.0
952,39,Menudeo,Un agente óptimo,0.8538351797535308
953,39,Menudeo,Todos óptima,1.010290964846034
957,39,Mayoreo,Nadie óptima,0.0
958,39,Mayoreo,Un agente óptimo,0.014260597012559956
959,39,Mayoreo,Todos óptima,0.993743669431718
963,40,Fábrica,Nadie óptima,0.0
964,40,Fábrica,Un agente óptimo,0.8583402312304219
965,40,Fábrica,Todos óptima,1.0185498838023803
969,40,Almacén Regional,Nadie óptima,0.0
970,40,Almacén Regional,Un agente óptimo,0.02231777713295543
971,40,Almacén Regional,Todos óptima,1.6177432079626324
975,40,Menudeo,Nadie óptima,0.0
976,40,Menudeo,Un agente óptimo,0.8583402312304219
977,40,Menudeo,Todos óptima,1.0185498838023803
981,40,Mayoreo,Nadie óptima,0.0
982,40,Mayoreo,Un agente óptimo,0.02334718306208529
983,40,Mayoreo,Todos óptima,1.2028520265578215
987,41,Fábrica,Nadie óptima,0.0
988,41,Fábrica,Un agente óptimo,0.7300200592227407
989,41,Fábrica,Todos óptima,2.1180255524432905
993,41,Almacén Regional,Nadie óptima,0.0
994,41,Almacén Regional,Un agente óptimo,0.05723171621645034
995,41,Almacén Regional,Todos óptima,1.5961192890770561
999,41,Menudeo,Nadie óptima,0.0
1000,41,Menudeo,Un agente óptimo,0.7300200592227407
1001,41,Menudeo,Todos óptima,2.1180255524432905
1005,41,Mayoreo,Nadie óptima,0.0
1006,41,Mayoreo,Un agente óptimo,0.25387162915817074
1011,42,Fábrica,Nadie óptima,0.0
1012,42,Fábrica,Un agente óptimo,2.9940406812870792
