,iteration,strategy,agent,money
565,47,Smart,Retail,3844.709961399413
566,47,Smart,Wholesale,1721.9680234635089
567,47,Smart,Regional Warehouse,578.0574893563733
568,47,Smart,Factory,3844.709961399413
569,47,Dumb,Retail,1201.3168547125479
570,47,Dumb,Wholesale,-4408.231664460108
571,47,Dumb,Regional Warehouse,-5588.07531505999
572,47,Dumb,Factory,1201.3168547125479
573,47,Dumber,Retail,-3450.772743608878
574,47,Dumber,Wholesale,-4270.069699296196
575,47,Dumber,Regional Warehouse,-5530.676087069574
576,47,Dumber,Factory,-3450.772743608878
577,48,Smart,Retail,3844.709961399413
578,48,Smart,Wholesale,1721.9680234635089
579,48,Smart,Regional Warehouse,578.0574893563733
580,48,Smart,Factory,3844.709961399413
581,48,Dumb,Retail,1201.3168547125479
582,48,Dumb,Wholesale,-4408.231664460108
583,48,Dumb,Regional Warehouse,-5588.07531505999
584,48,Dumb,Factory,1201.3168547125479
585,48,Dumber,Retail,-3450.772743608878
586,48,Dumber,Wholesale,-4270.069699296196
587,48,Dumber,Regional Warehouse,-5530.676087069574
588,48,Dumber,Factory,-3450.772743608878
589,49,Smart,Retail,3844.709961399413
590,49,Smart,Wholesale,1721.9680234635089
591,49,Smart,Regional Warehouse,578.0574893563733
592,49,Smart,Factory,3844.709961399413
593,49,Dumb,Retail,1201.3168547125479
594,49,Dumb,Wholesale,-4408.231664460108
595,49,Dumb,Regional Warehouse,-5588.07531505999
596,49,Dumb,Factory,1201.3168547125479
597,49,Dumber,Retail,-3450.772743608878
598,49,Dumber,Wholesale,-4270.069699296196
599,49,Dumber,Regional Warehouse,-5530.676087069574
600,49,Dumber,Factory,-3450.772743608878
